rebalance_date,equal_weight,classical_markowitz,robust_markowitz
2017-04-03,,,
2017-07-03,0.01396288609718255,0.5895337931263613,0.7845894554026385
2017-10-02,0.013600610173550779,0.37875561400462243,0.5590464956966554
2018-01-02,0.016609452389856654,0.2526233983320748,0.4908345372011067
2018-04-02,0.012389885314800965,0.4263508031804173,0.8389089864215857
2018-07-02,0.021946848133482338,0.3977323636168374,0.49001067976140184
2018-10-01,0.01837550889610462,0.5823874771862086,0.740937955827125
2019-01-02,0.03974155449840816,0.9466589004133245,0.993935813574222
2019-04-01,0.021530309829785703,0.5461944324521878,0.5872446684893244
2019-07-01,0.010913166688961775,0.2247607804806358,0.4631336638163964
2019-10-01,0.01610349556262234,0.3502577386161021,0.4612378334794479
2020-01-02,0.0190072189808531,0.45893907514350474,0.5378138340705337
2020-04-01,0.07052738907341966,0.8984783602598673,0.9624578738011891
2020-07-01,0.038078831004863214,0.6169068491551106,0.4225584212890615
2020-10-01,0.021513374318163178,0.15613134010964744,0.25316402303086516
2021-01-04,0.03410444628356938,0.510595655368834,0.5081277220173721
2021-04-01,0.031369412755941045,0.44943365673655655,0.8550659065098392
2021-07-01,0.018198175407731224,0.4572598872928406,0.6558528817601261
2021-10-01,0.015255662785098992,0.23232031440284182,0.3761760930280217
2022-01-03,0.024666624746438527,0.4288896233214811,0.5438170901497509
2022-04-01,0.040945203189972974,0.7148636932779441,0.710155359471472
2022-07-01,0.031489043616376625,0.6600298807788026,0.5933851665466185
2022-10-03,0.022696786409849075,0.3662885861479435,0.23079902488139298
2023-01-03,0.028499248017557467,0.39858519688722593,0.17492815253901822
2023-04-03,0.02486432007491498,0.2523506593611316,0.14451064222854465
2023-07-03,0.020921255927034747,0.4147540618139316,0.30863972417552776
2023-10-02,0.0174568733421964,0.5137539722929934,0.31525412777786066
2024-01-02,0.023699880750456436,0.4516538322231564,0.3583152528040461
2024-04-01,0.02434951900562273,0.3865512002792647,0.23702721513370933
2024-07-01,0.017684903997198326,0.45344985946444616,0.5412753808578832
2024-10-01,0.020588197943600034,0.4853008625195892,0.5378766496742656
2025-01-02,0.023045618487821613,0.5629908837976982,0.6466924353966881
2025-04-01,0.027913997475771953,0.529183914461255,0.42607347371745063
2025-07-01,0.029323246596180172,0.30075860405670973,0.27890730057987223
2025-10-01,0.01969428791937143,0.2852507883124748,0.6159360672500596
