Date,equal_weight,classical_markowitz,robust_markowitz
2017-04-03,0.9992654004050608,0.9977516809156941,0.998795178930059
2017-04-04,1.0001401912271701,0.9971343917028611,0.9990312145764071
2017-04-05,0.9969026669178612,0.9928108310368687,0.9975748668266734
2017-04-06,0.9993500607822531,0.9953227881362459,0.9974952153635672
2017-04-07,0.9988110930564978,0.9947525998946488,0.997870832105894
2017-04-10,1.0000133871350858,0.9937609718645869,0.996714211376319
2017-04-11,1.0023588776741374,0.9920854527515958,0.9952732640890914
2017-04-12,1.0003769479285638,0.9867531276797902,0.9930847164509176
2017-04-13,0.995922039786059,0.9797593639934403,0.9893183796516054
2017-04-17,1.0016525749197716,0.9885822978131394,0.9950815164093412
2017-04-18,0.999426039127026,0.9883553778213227,0.9967814295889339
2017-04-19,0.9961948483817866,0.9894096696759447,0.9959813551370692
2017-04-20,1.0016527585169666,0.998522040896764,0.9999587663276563
2017-04-21,0.9998312601229802,0.9978376955703009,0.9986632575681331
2017-04-24,1.0093943146763333,1.0093016558402346,1.0058488871539903
2017-04-25,1.0140861732213524,1.0157979847103977,1.009169323909273
2017-04-26,1.012940295411359,1.0140545717152085,1.0063426550143204
2017-04-27,1.0128676887147385,1.0179895740515814,1.0098909761446075
2017-04-28,1.0107458590413274,1.010439368249211,1.0055871638945442
2017-05-01,1.012583922941649,1.0145977811558462,1.0069904708793032
2017-05-02,1.013263032264032,1.0125502096167818,1.005347447055905
2017-05-03,1.0100830792245457,1.0124148424705166,1.005399790675887
2017-05-04,1.0077245994702653,1.01266698701464,1.0065177878377607
2017-05-05,1.014060419197001,1.016785213197181,1.0095061427347427
2017-05-08,1.0107129230476133,1.0172578236220495,1.0088933361688839
2017-05-09,1.0104528234021226,1.0188278586651554,1.0092029444185076
2017-05-10,1.0147438958047919,1.0247906555398634,1.0135047963980102
2017-05-11,1.013324621790439,1.0221851208901804,1.0140783519103236
2017-05-12,1.0142380800593733,1.023329983016563,1.0152082917538234
2017-05-15,1.0192689092948484,1.030166515715551,1.020460423955279
2017-05-16,1.0201178348782758,1.034517049373107,1.0225570571558917
2017-05-17,1.0097084966663443,1.0118952498997922,1.0097543965579892
2017-05-18,1.008814632843313,1.018681051803899,1.0144767539027826
2017-05-19,1.0177395088013856,1.0265088521850878,1.0196244219942459
2017-05-22,1.0212250289377685,1.0343930759375006,1.0251794146437743
2017-05-23,1.021283609462262,1.0350319531134882,1.0255116670437554
2017-05-24,1.0235122374914978,1.0374629774734603,1.0287824818429103
2017-05-25,1.0238164930510216,1.0434334931742306,1.0335134487688116
2017-05-26,1.0245270479407482,1.043543778625849,1.0345171568224782
2017-05-30,1.022059713180773,1.0435691066230468,1.037057566570759
2017-05-31,1.020925653342996,1.042694497849771,1.038298232502262
2017-06-01,1.0273240863161284,1.050383855638297,1.0418378448362295
2017-06-02,1.031189400442702,1.0542987404947504,1.0457839640990447
2017-06-05,1.0290460528593148,1.0542699132687257,1.0459164731911577
2017-06-06,1.0287798206607024,1.0520872144356759,1.0455020382370377
2017-06-07,1.028160512134418,1.0574156975046736,1.0478902534070589
2017-06-08,1.0296592325661214,1.0635758992110038,1.0490234127191034
2017-06-09,1.0290990569078224,1.0529999272358326,1.038255002136636
2017-06-12,1.0277727163883295,1.0504658459216147,1.0363543067568324
2017-06-13,1.0325363211265264,1.0546896038726257,1.0393799256122542
2017-06-14,1.0307452444749767,1.0517091474849414,1.0386430715155
2017-06-15,1.026388189035863,1.0484478899257041,1.036787713581418
2017-06-16,1.0284404380611691,1.0482313276109703,1.0361538379783926
2017-06-19,1.0319998151855179,1.0579532724714893,1.0424098267578699
2017-06-20,1.025146077629774,1.0497514283931368,1.0377826980784046
2017-06-21,1.023615990544158,1.0510016235876596,1.039003101761474
2017-06-22,1.0244075682730842,1.0485824805609028,1.0371022374187653
2017-06-23,1.0270233453699988,1.0504283734481934,1.038555187995101
2017-06-26,1.029759653294012,1.0505327904082493,1.0381347402993015
2017-06-27,1.0245035303826646,1.0369681253627305,1.0265208877667817
2017-06-28,1.0317827396170955,1.0457340674467532,1.0315441093160531
2017-06-29,1.0251658377224682,1.0337854429339055,1.0203029518928102
2017-06-30,1.0276885243473186,1.0325460627969465,1.0195601020158436
2017-07-03,1.0301773029592354,1.0323729284885301,1.0204467996732791
2017-07-05,1.0287480506612194,1.036348122157287,1.0213135974246028
2017-07-06,1.0213907272198341,1.0310371601893702,1.0176531559713913
2017-07-07,1.0236791347673722,1.0343775837320082,1.01800702249426
