strategy,gamma,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,average_turnover,final_portfolio_value,rho,cov_uncertainty
classical_markowitz,3.0,0.3630045367332,0.03612716583346698,0.19003330337560642,0.19010965547475944,-0.3644208606008632,0.4501843198639398,1.3630045367332,,
classical_markowitz,5.0,0.37954613271911075,0.03756049719008403,0.1649999173560097,0.22763949092799948,-0.3226797640711855,0.4611757664374712,1.3795461327191108,,
classical_markowitz,7.5,0.3628324622767545,0.03611217479389439,0.1445919718372655,0.24975228109163422,-0.2587429846430239,0.47677777697124385,1.3628324622767545,,
classical_markowitz,10.0,0.29568352071432025,0.0301301579718134,0.12907201799259807,0.23343679319820723,-0.24554856880531817,0.4905864638877824,1.2956835207143202,,
classical_markowitz,15.0,0.2529433263982619,0.026178003310991516,0.1075477370250387,0.24340822071316007,-0.2233809959465951,0.49094267100551425,1.252943326398262,,
classical_markowitz,20.0,0.23690711882131232,0.024664295988968465,0.09145143723253162,0.26969828725878947,-0.20852945787940425,0.4655906966827186,1.2369071188213123,,
robust_markowitz,5.0,0.360449179691096,0.03590437188562867,0.165732582006956,0.21664039412673677,-0.31754662778696885,0.5076632848499465,1.360449179691096,0.25,0.05
robust_markowitz,5.0,0.35688687116449613,0.035593165744740585,0.1654359974873861,0.2151476479443625,-0.31676692462309985,0.5085968009794629,1.3568868711644961,0.25,0.1
robust_markowitz,5.0,0.35463093907370213,0.03539571138037023,0.1651761304511158,0.2142907167258387,-0.3151947288557003,0.5094423619320994,1.3546309390737021,0.25,0.15
robust_markowitz,5.0,0.35174798396163043,0.035142951526363486,0.1649701764816442,0.21302608917481367,-0.3142403416431462,0.51012129656278,1.3517479839616304,0.25,0.2
robust_markowitz,5.0,0.2958354199861344,0.030143996873722934,0.1546173350531529,0.19495871445048715,-0.2893527633271459,0.5202845869342358,1.2958354199861344,0.5,0.05
robust_markowitz,5.0,0.2934202778640689,0.02992379312943072,0.1544198410407686,0.19378204852270567,-0.28936545309542183,0.5204716734039224,1.2934202778640689,0.5,0.1
robust_markowitz,5.0,0.2909013494004036,0.0296937383295226,0.15420764266316286,0.19255685267417583,-0.28920439415873345,0.5205942106640603,1.2909013494004036,0.5,0.15
robust_markowitz,5.0,0.28901228765941944,0.029520948570348482,0.1539760114796352,0.1917243360616138,-0.2887211796285998,0.520921570712888,1.2890122876594194,0.5,0.2
robust_markowitz,5.0,0.22298609530865465,0.023336091835504114,0.13965127000280844,0.167102610918145,-0.2745442890663319,0.5070234328479146,1.2229860953086547,0.75,0.05
robust_markowitz,5.0,0.21673173849823657,0.022735001115346876,0.13937088670971948,0.16312589847188924,-0.27676842436105287,0.5063077907229165,1.2167317384982366,0.75,0.1
robust_markowitz,5.0,0.21090960257038383,0.022172986356711055,0.13909948633416186,0.15940379753412162,-0.27843780308634924,0.5053225440079991,1.2109096025703838,0.75,0.15
robust_markowitz,5.0,0.20634331748145485,0.021730523173383087,0.1387964877586369,0.15656392697178217,-0.2791133380265628,0.5034497429567885,1.2063433174814548,0.75,0.2
robust_markowitz,5.0,0.21990450363395087,0.02304026870885667,0.12246895614479128,0.18813150233449258,-0.24843180020971212,0.4790171302751245,1.2199045036339509,1.0,0.05
robust_markowitz,5.0,0.2169046974302511,0.02275166051166755,0.12220403090734074,0.18617765995721233,-0.2486907025480889,0.4790247852924473,1.216904697430251,1.0,0.1
robust_markowitz,5.0,0.21518235140381714,0.022585670628012755,0.12198117589340107,0.18515701674945562,-0.2488118183412853,0.47927293472920324,1.2151823514038171,1.0,0.15
robust_markowitz,5.0,0.21350007131762205,0.02242334085535269,0.12175986764824719,0.18416035832210015,-0.24885780747134156,0.4796981936687446,1.213500071317622,1.0,0.2
robust_markowitz,5.0,0.1081691977975554,0.011839773275884369,0.08937186892552305,0.1324776287911233,-0.24270832877292214,0.38930082277482664,1.1081691977975554,1.5,0.05
robust_markowitz,5.0,0.109247748751925,0.011952579899584315,0.08916047870823166,0.13405692827982543,-0.24144756428792558,0.3895772599928228,1.109247748751925,1.5,0.1
robust_markowitz,5.0,0.10962601693489527,0.011992120310257093,0.08889789243766835,0.1348976897136846,-0.2405381001848551,0.3890517950928285,1.1096260169348953,1.5,0.15
robust_markowitz,5.0,0.10917910152541,0.01194540291833368,0.08862359445090968,0.13478806622936593,-0.23985630002670721,0.3883986441467865,1.10917910152541,1.5,0.2
robust_markowitz,10.0,0.24837694117762332,0.02574872308942555,0.13178834407204468,0.19537936583640134,-0.25576320913884265,0.5510533796160315,1.2483769411776233,0.25,0.05
robust_markowitz,10.0,0.24420378929086373,0.025355192646846048,0.13154915074141613,0.19274311163502916,-0.2560797105482986,0.5500013174435606,1.2442037892908637,0.25,0.1
robust_markowitz,10.0,0.2397789937492385,0.02493665350855534,0.13128448626594466,0.18994364237401853,-0.2563309812453938,0.5493597640350111,1.2397789937492385,0.25,0.15
robust_markowitz,10.0,0.23381615972062342,0.024370535063699794,0.1310135314241901,0.18601540465918673,-0.2581341389060857,0.5492597464117094,1.2338161597206234,0.25,0.2
robust_markowitz,10.0,0.1821852538440758,0.01936468589729934,0.1199617070106497,0.16142389417299824,-0.2667844978851325,0.5329888948732051,1.1821852538440758,0.5,0.05
robust_markowitz,10.0,0.18106151513505497,0.019253597800341193,0.11960909584209198,0.16097101700158162,-0.26801160205992824,0.5297297256623293,1.181061515135055,0.5,0.1
robust_markowitz,10.0,0.1802969161733905,0.01917795924062382,0.11933388577642062,0.1607084116623413,-0.2687864580207949,0.5280765956631783,1.1802969161733905,0.5,0.15
robust_markowitz,10.0,0.17864526385341684,0.01901442003247289,0.11906006519441971,0.1597044315524538,-0.2692258273613486,0.5262399383358276,1.1786452638534168,0.5,0.2
robust_markowitz,10.0,0.1824324210952626,0.01938910727110743,0.10902606896344968,0.17783918520998412,-0.2673548256452659,0.4887186996736985,1.1824324210952626,0.75,0.05
robust_markowitz,10.0,0.17756068708613038,0.018906919700027114,0.10855778128446607,0.1741645737073716,-0.26766711606667826,0.48686690726434506,1.1775606870861304,0.75,0.1
robust_markowitz,10.0,0.17603811046514517,0.018755857986439528,0.10813837456347829,0.17344312841903922,-0.2670045320173141,0.48516630617291934,1.1760381104651452,0.75,0.15
robust_markowitz,10.0,0.17616785524341738,0.018768737299885485,0.10772467199567987,0.17422877185124477,-0.2660015715315852,0.4831922541453476,1.1761678552434174,0.75,0.2
robust_markowitz,10.0,0.1601621061596119,0.01717032571822008,0.09552347608695731,0.17974979996110613,-0.24557893902108585,0.43383992284087125,1.160162106159612,1.0,0.05
robust_markowitz,10.0,0.1581942516598065,0.016972460416961654,0.09511646140843484,0.1784387283299056,-0.24453599885728727,0.4303641965282403,1.1581942516598065,1.0,0.1
robust_markowitz,10.0,0.1556654304639411,0.016717753121168855,0.09472155246526813,0.17649365625947494,-0.24382663804425386,0.42772028037163456,1.155665430463941,1.0,0.15
robust_markowitz,10.0,0.15324470715612692,0.01647347092479845,0.09431566215462121,0.1746631529532372,-0.24325620394528724,0.42570456618583413,1.153244707156127,1.0,0.2
robust_markowitz,10.0,0.12384850547023385,0.013470206856804001,0.0697224787165091,0.19319747525864256,-0.20617419599647568,0.3373272901802555,1.1238485054702338,1.5,0.05
robust_markowitz,10.0,0.12461247203318271,0.013549133242693134,0.06932352405070373,0.1954478429686177,-0.20474888591293672,0.33614734539971847,1.1246124720331827,1.5,0.1
robust_markowitz,10.0,0.12683070847946398,0.01377803342342876,0.06889451349847285,0.19998738250374856,-0.20245739885543856,0.334486440975505,1.126830708479464,1.5,0.15
robust_markowitz,10.0,0.128505196540055,0.013950560012737645,0.06847805653392423,0.20372307157733802,-0.20064448517952393,0.3326098863593409,1.128505196540055,1.5,0.2
robust_markowitz,15.0,0.18473045877973293,0.01961594889784779,0.11176434791136791,0.17551168386365712,-0.25435494525951496,0.5495684056240784,1.184730458779733,0.25,0.05
robust_markowitz,15.0,0.1833336709940856,0.019478117046001664,0.1113690265475721,0.1748970755139127,-0.25640479104373537,0.5461442076872232,1.1833336709940856,0.25,0.1
robust_markowitz,15.0,0.18183599548180585,0.01933016969713819,0.11098507132571242,0.17416909739517264,-0.2581028065403119,0.5425921849706099,1.1818359954818058,0.25,0.15
robust_markowitz,15.0,0.17999161541064357,0.0191477449996853,0.11073220041121494,0.17291939407487852,-0.25949206188914076,0.54056744704108,1.1799916154106436,0.25,0.2
robust_markowitz,15.0,0.15303140655309844,0.016451924384993877,0.1027069470087965,0.16018317031256732,-0.2613691849089994,0.5057826748516451,1.1530314065530984,0.5,0.05
robust_markowitz,15.0,0.15399759497958998,0.016549495618492616,0.10218452062665855,0.1619569727097695,-0.26092612297084394,0.501417200235829,1.15399759497959,0.5,0.1
robust_markowitz,15.0,0.15505017695661616,0.01665570908059677,0.10162175381840964,0.16389905167705782,-0.25955565361771826,0.49798964488914554,1.1550501769566162,0.5,0.15
robust_markowitz,15.0,0.1557964027998766,0.016730956995464785,0.10106920153293251,0.1655396178232708,-0.25819749878170384,0.49535224084375395,1.1557964027998766,0.5,0.2
robust_markowitz,15.0,0.15018224369450972,0.01616377754928222,0.09050669866731764,0.17859205768510736,-0.2448618828928295,0.44980716133785625,1.1501822436945097,0.75,0.05
robust_markowitz,15.0,0.1498465308793393,0.016129784008257486,0.08999291573216173,0.17923393054919115,-0.24323435306585173,0.44684218000813664,1.1498465308793393,0.75,0.1
robust_markowitz,15.0,0.14775744388616752,0.015918049956780145,0.08950902745209252,0.17783736914469198,-0.24183654547806077,0.44510996911178635,1.1477574438861675,0.75,0.15
robust_markowitz,15.0,0.14611412112260935,0.015751255283369847,0.08902756643204467,0.17692559635888605,-0.2403446110623596,0.44321215507145606,1.1461141211226094,0.75,0.2
robust_markowitz,15.0,0.14087259305582478,0.015217829936119864,0.07940990100380206,0.19163643001382474,-0.21891090319495365,0.41137860370711854,1.1408725930558248,1.0,0.05
robust_markowitz,15.0,0.1402462958799371,0.015153947212658503,0.07895364205900991,0.19193474572499708,-0.21824036148468695,0.40835386663992823,1.140246295879937,1.0,0.1
robust_markowitz,15.0,0.13899171121533405,0.015025885247992532,0.07853767361739046,0.19132073253396414,-0.21778673534646587,0.40594178568108186,1.138991711215334,1.0,0.15
robust_markowitz,15.0,0.13814160491451832,0.014939039483423233,0.07816323155292212,0.19112617514167682,-0.2178587394488567,0.4031714934622885,1.1381416049145183,1.0,0.2
robust_markowitz,15.0,0.1652211571098401,0.017677646281750947,0.05674426874223962,0.3115318370221936,-0.15695960982311474,0.28885964844235257,1.16522115710984,1.5,0.05
robust_markowitz,15.0,0.16517737073111216,0.01767326376647005,0.056350848530420085,0.3136290619817273,-0.15657543359439163,0.2855423940720373,1.1651773707311122,1.5,0.1
robust_markowitz,15.0,0.16546790286408308,0.017702339981525483,0.056004227146479624,0.3160893540272386,-0.15624341518028162,0.28261679965957687,1.165467902864083,1.5,0.15
robust_markowitz,15.0,0.16550482217778995,0.017706034376254953,0.055727309140260986,0.3177263472688111,-0.15595457175123528,0.27982144467685227,1.16550482217779,1.5,0.2
