Date,equal_weight,classical_markowitz,robust_markowitz
2017-04-03,-0.0007345995949391995,-0.002248319084305872,-0.0012048210699410488
2017-04-04,0.000875433915509001,-0.000618680203341225,0.00023632037010922418
2017-04-05,-0.003237070500422981,-0.004335985903172774,-0.0014577600063789458
2017-04-06,0.002454997810326426,0.002530146751878005,-7.98450981023253e-05
2017-04-07,-0.0005393182498366566,-0.000572867665036276,0.00037655994388895717
2017-04-10,0.001203725195831471,-0.0009968589478096823,-0.0011590886238594376
2017-04-11,0.002345459140073393,-0.0016860383537174387,-0.001445697543770125
2017-04-12,-0.001977265617851812,-0.005374864692367134,-0.0021989414537091595
2017-04-13,-0.004453229506866776,-0.007087652919626152,-0.003792563450953356
2017-04-17,0.005753999715623982,0.009005204894125518,0.005825361052895055
2017-04-18,-0.002222862346182164,-0.00022954082054549196,0.001708315501353707
2017-04-19,-0.003233046387366259,0.001066713328303132,-0.0008026578627117822
2017-04-20,0.00547875763867449,0.00920990718011069,0.00399345948603599
2017-04-21,-0.0018184928644167614,-0.0006853582579393707,-0.001295562180309709
2017-04-24,0.009564668494338584,0.011488802558598254,0.0071952477788711396
2017-04-25,0.004648191967004929,0.0064364591423909006,0.003301128825302701
2017-04-26,-0.0011299609838415305,-0.0017162989309199436,-0.0028009857493515216
2017-04-27,-7.167914727997827e-05,0.003880464075732196,0.0035259572001710977
2017-04-28,-0.0020948734934011877,-0.007416781070085723,-0.004261660269996469
2017-05-01,0.0018185223158518479,0.004115450206419214,0.0013955100414409956
2017-05-02,0.0006706696669745239,-0.002018111587758305,-0.0016316180449687313
2017-05-03,-0.00313832927702995,-0.000133689317309452,5.206520405985675e-05
2017-05-04,-0.0023349364055192854,0.00024905259538485756,0.0011119926344147853
2017-05-05,0.0062872532138903816,0.004066713179504047,0.0029690035616774845
2017-05-08,-0.0033010815588665953,0.0004648085148508664,-0.000607035995044756
2017-05-09,-0.0002573427523873715,0.001543399329695527,0.0003068790708830834
2017-05-10,0.0042466825796197575,0.005852604857625643,0.004262623294248714
2017-05-11,-0.0013986524286772359,-0.002542504301339718,0.0005659129728362941
2017-05-12,0.0009014468308489815,0.0011200144699674954,0.001114252997681281
2017-05-15,0.004960205433403156,0.0066806727179393064,0.005173452821570645
2017-05-16,0.0008328769529668462,0.004223136348529232,0.0020545953095232536
2017-05-17,-0.01020405472390698,-0.021867014649031777,-0.012520240810338146
2017-05-18,-0.000885269190050884,0.006706031977893688,0.004676738582065931
2017-05-19,0.008846893837094853,0.0076842504995329195,0.0050742100020132255
2017-05-22,0.003424766461594674,0.007680619349389825,0.005448077281891143
2017-05-23,5.73629933007898e-05,0.0006176348148971547,0.00032409195428147923
2017-05-24,0.002182183292268051,0.0023487432949864454,0.0031894466969680634
2017-05-25,0.00029726616681177525,0.005754919289081856,0.004598607586539006
2017-05-26,0.0006940256330597291,0.00010569475902386829,0.000971161096028519
2017-05-30,-0.002408267077901503,2.4271140048366105e-05,0.0024556477691327887
2017-05-31,-0.0011095827603335275,-0.0008380937761813509,0.0011963327509440574
2017-06-01,0.006267285920557328,0.007374506918740656,0.003409051680110424
2017-06-02,0.0037625070589304916,0.0037270992270482047,0.0037876520634891756
2017-06-05,-0.002078519797107115,-2.734255948286902e-05,0.0001267079020731583
2017-06-06,-0.00025871747709703484,-0.0020703415753205697,-0.0003962409664086917
2017-06-07,-0.0006019835477397157,0.005064678095014998,0.0022842759580347966
2017-06-08,0.0014576716514740603,0.005825714258703975,0.0010813721268617639
2017-06-09,-0.0005440398537513275,-0.009943786788528003,-0.010265176593680835
2017-06-12,-0.00128883659020948,-0.002406535127566249,-0.0018306633494585074
2017-06-13,0.004634881489106303,0.0040208427217405685,0.002919483072242102
2017-06-14,-0.0017346379152992856,-0.002825908567544997,-0.000708936240345669
2017-06-15,-0.004227092448370246,-0.0031009120411628443,-0.001786328706140395
2017-06-16,0.0019994862053448665,-0.00020655515339837357,-0.0006113841770325291
