estimator,oos_covariance_loss,vol_forecast_bias,vol_forecast_rmse,median_condition_number,median_effective_rank,gmv_oos_volatility,forecast_periods
ewma,-7.41921487164179,0.009230451557044,0.0861005256725309,1477956.9161081726,8.457574347567444,0.0335678165562879,31
iewma,-9.224259247413368,0.0031399803131841,0.0908731078712432,293767.69364197494,8.996323217943148,0.0348472071447909,31
ledoit_wolf,-10.220319921608152,0.0077177671301911,0.0828145688139913,3935.618127146646,9.253232431434196,0.033855231941248,31
sample,-9.514455095320162,0.0097406611937539,0.0836064952001652,889784.7248961738,8.480853414419517,0.0338575051344851,31
