universe,threshold,model,status,completed_dates,average_asset_count,average_cluster_count,median_condition_number,median_effective_rank,average_security_level_l1_change,average_cluster_exposure_l1_change,bootstrap_weight_sensitivity,net_annualized_return,realized_volatility,provisional_zero_rf_sharpe,recurring_one_way_turnover,cost_drag_final_wealth,bootstrap_weight_sensitivity_status,universe_ablation_weight_change,gross_final_wealth,net_final_wealth,gross_cumulative_return,net_cumulative_return,gross_annualized_return,max_drawdown,recurring_gross_traded_fraction,total_gross_traded_fraction,initial_one_way_turnover,total_transaction_cost,average_effective_holdings
CLUSTER_MEDOID,0.8,box,INCOMPLETE_FAILED_SOLVES,30,40.54838709677419,40.54838709677419,9411.530438324768,10.476222413707928,1.4389158542481681,0.9829879509456596,,,,,,,NOT_ESTIMATED_FOR_MEDOID_UNIVERSE,1.4389158542481681,,,,,,,,,,,
FULL,0.8,box,COMPLETED,31,147.0,40.54838709677419,293767.69364197494,8.996323217943148,0.0,0.0,0.6488179253758443,0.00259274340202,0.0760838680147133,0.0721213115864997,0.2488861640652706,0.0081607729201766,ESTIMATED_ON_SELECTED_DATES,0.0,,,,,,,,,,,
CLUSTER_MEDOID,0.8,box_diagonal,INCOMPLETE_FAILED_SOLVES,22,40.54838709677419,40.54838709677419,9411.530438324768,10.476222413707928,1.3959604639302106,1.0082780565756577,,,,,,,NOT_ESTIMATED_FOR_MEDOID_UNIVERSE,1.3959604639302106,,,,,,,,,,,
FULL,0.8,box_diagonal,COMPLETED,31,147.0,40.54838709677419,293767.69364197494,8.996323217943148,0.0,0.0,0.5520724195644288,0.0099481126271885,0.0620955530405185,0.1904980024575985,0.2290335527475021,0.0079871574846974,ESTIMATED_ON_SELECTED_DATES,0.0,,,,,,,,,,,
CLUSTER_MEDOID,0.8,ellipsoid,INCOMPLETE_FAILED_SOLVES,30,40.54838709677419,40.54838709677419,9411.530438324768,10.476222413707928,1.2833648297012084,0.8686976762265627,,,,,,,NOT_ESTIMATED_FOR_MEDOID_UNIVERSE,1.2833648297012084,,,,,,,,,,,
FULL,0.8,ellipsoid,COMPLETED,31,147.0,40.54838709677419,293767.69364197494,8.996323217943148,0.0,0.0,0.17435935176817793,0.0283226191349759,0.0357949719336027,0.7981928941474499,0.1381275573694181,0.0057766907607241,ESTIMATED_ON_SELECTED_DATES,0.0,,,,,,,,,,,
CLUSTER_MEDOID,0.8,gmv,COMPLETED,31,40.54838709677419,40.54838709677419,9411.530438324768,10.476222413707928,1.2140365385298597,0.8344736305718983,,0.012292433134203584,0.0624854041918781,0.22702101962064272,0.21850400325569935,0.007781487495829076,NOT_ESTIMATED_FOR_MEDOID_UNIVERSE,1.2140365385298597,1.1068814788306156,1.0990999913347865,0.1068814788306156,0.09909999133478653,0.013216248849095225,-0.18574111284269246,0.4370080065113987,14.110240195341959,0.5000000000000001,0.007029780917166976,11.175588053303121
FULL,0.8,gmv,COMPLETED,31,147.0,40.54838709677419,293767.69364197494,8.996323217943148,0.0,0.0,,0.0187519860198155,0.0339513754499636,0.5642360920804053,0.144603724705147,0.0055991845945557,NOT_ESTIMATED,0.0,,,,,,,,,,,
CLUSTER_MEDOID,0.8,nominal,INCOMPLETE_FAILED_SOLVES,30,40.54838709677419,40.54838709677419,9411.530438324768,10.476222413707928,1.220547193242755,0.8963887137585319,,,,,,,NOT_ESTIMATED_FOR_MEDOID_UNIVERSE,1.220547193242755,,,,,,,,,,,
FULL,0.8,nominal,COMPLETED,31,147.0,40.54838709677419,293767.69364197494,8.996323217943148,0.0,0.0,1.156310959419118,0.013415678729991,0.1599633886314129,0.1639223608438092,0.4748447966988299,0.0164674565614499,ESTIMATED_ON_SELECTED_DATES,0.0,,,,,,,,,,,
