strategy,mean_estimator,covariance_estimator,robust_set,risk_comparison,target_risk,average_predicted_decision_volatility,average_predicted_common_base_volatility,target_binding_fraction,realized_volatility,gross_annualized_return,net_annualized_return,provisional_zero_rf_sharpe,provisional_zero_rf_sharpe_ci_lower,provisional_zero_rf_sharpe_ci_upper,delta_sharpe_vs_nominal,delta_sharpe_vs_nominal_ci_lower,delta_sharpe_vs_nominal_ci_upper,delta_sharpe_vs_etf_equal_weight,delta_sharpe_vs_etf_equal_weight_ci_lower,delta_sharpe_vs_etf_equal_weight_ci_upper,max_drawdown,recurring_one_way_turnover,initial_one_way_turnover,cost_drag_final_wealth,average_effective_holdings,bootstrap_weight_sensitivity,bootstrap_cosine_similarity
etf_equal_weight,none,none,none,NOT RISK-TARGETED,,0.1302747172475053,0.1302747172475053,,0.1431932042279067,0.0918306244156095,0.0916462548400158,0.6844605536201431,-0.05917878890397025,1.489502000508332,0.5205381927763265,0.09115960146061808,0.9548700867912157,0.0,0.0,0.0,-0.2954872587482021,0.0268748939738848,0.5,0.0025751117460046,147.0,,
asset_class_equal_weight,none,none,none,NOT RISK-TARGETED,,0.1269266097563688,0.1269266097563688,,0.1400474496052867,0.0874205611111942,0.08723532971346,0.6677535048326715,-0.08103796438181428,1.480421884691367,0.5038311439888693,0.07517458710084607,0.9475807221022028,-0.016707048787457213,-0.04700309414283874,0.019959742390430402,-0.2971971853558963,0.0272557932151724,0.4999999999999999,0.0025175753822554,133.89431167956914,,
inverse_volatility_iewma,none,iewma,none,NOT RISK-TARGETED,,0.0782337021499443,0.0782337021499443,,0.0937305880653802,0.0580811502413032,0.0576933428195074,0.6455674338906308,-0.12920132301408804,1.5068680720160366,0.48164507304681625,0.016886476151053296,0.9687189374278493,-0.03889311972951026,-0.18465780881980956,0.12100740915165083,-0.214991423123109,0.0778452484085461,0.4999999999999999,0.0043813243659267,66.79748908597394,,
gmv_iewma,ignored,iewma,none,NOT RISK-TARGETED,,0.0230379034572377,0.0230379034572377,,0.0339513754499636,0.0193894626152544,0.0187519860198155,0.5642360920804053,-0.22102141591960026,1.496752044434646,0.40031373123659886,-0.21608355333729992,1.1137722013213356,-0.12022446153972766,-0.6520813717568015,0.48037141757751833,-0.1132377656863558,0.144603724705147,0.5,0.0055991845945557,11.04431026106648,,
nominal_risk_10pct,sample,iewma,none,COMMON EX-ANTE RISK CEILING,0.1,0.1000000001513672,0.1000000001513672,1.0,0.1599633886314129,0.0153496448508907,0.013415678729991,0.1639223608438092,-0.3971072177581649,0.8726522000461631,0.0,0.0,0.0,-0.5205381927763265,-0.9548700867912157,-0.0911596014606181,-0.334039973311899,0.4748447966988299,0.5,0.0164674565614499,11.033508522455218,1.156310959419118,0.4551483984076154
box_risk_10pct,sample,iewma,box_mean,COMMON EX-ANTE RISK CEILING,0.1,0.0500753345734807,0.0500753345734807,0.1935483870967742,0.0760838680147133,0.0036260747454344,0.00259274340202,0.0721213115864997,-0.535574036791454,0.7554959755575675,-0.0918010492573128,-0.6675361973011903,0.45122367789391754,-0.6123392420336393,-1.3406619571675005,0.09388820842086604,-0.2309754387002383,0.2488861640652706,0.5,0.0081607729201766,10.073610960245269,0.6488179253758443,0.6864909487294857
box_diagonal_risk_10pct,sample,iewma,box_mean_plus_diagonal_covariance,COMMON EX-ANTE RISK CEILING,0.1,0.0743911100940469,0.0431216080614601,0.4516129032258064,0.0620955530405185,0.0109111338673977,0.0099481126271885,0.1904980024575985,-0.44314757271130645,0.9138168724395909,0.0265756416137915,-0.5520053305836172,0.574538594342898,-0.493962551162535,-1.2069669739235531,0.20009322118860767,-0.1863893813318129,0.2290335527475021,0.5,0.0079871574846974,10.7146804646427,0.5520724195644288,0.7665892842392381
ellipsoid_risk_10pct,sample,iewma,ellipsoidal_mean,COMMON EX-ANTE RISK CEILING,0.1,0.0304877200363891,0.0304877200363891,0.0,0.0357949719336027,0.0289402210214284,0.0283226191349759,0.7981928941474499,0.05781085084432463,1.5754580641311822,0.6342705333036499,0.0340253394568915,1.2041602346959113,0.1137323405273234,-0.5003464237080414,0.7039503294025403,-0.0969717259808801,0.1381275573694181,0.5,0.0057766907607241,11.138327317714134,0.17435935176817793,0.9646701516548085
