model,bootstrap_l1_weight_sensitivity,bootstrap_cosine_similarity,bootstrap_hhi,bootstrap_effective_holdings,mean_shock_l1_sensitivity,mean_shock_asset_class_l1_sensitivity,covariance_shock_l1_sensitivity,covariance_shock_risk_change,clone_security_level_distortion,clone_economic_exposure_distortion,clone_asset_class_exposure_distortion,perturbed_solver_completed,perturbed_solver_failed,perturbed_solver_failure_rate
nominal,1.1563109594191179,0.4551483984076154,0.092259198187829,10.875776981984714,0.44191512932805566,0.28831672798143027,0.09504042082469218,-0.0014739695367017996,2.7936114200467074e-05,2.7936087648191857e-05,7.680041671219433e-06,140,0,0.0
box,0.6488179253758443,0.6864909487294857,0.09858026410432409,10.150237899098212,0.44602500760715114,0.3787981945444799,0.018664257111094932,-0.0005495151216907296,0.025418346533247347,0.02067120172993749,5.334461517871456e-08,140,0,0.0
box_diagonal,0.5520724195644288,0.7665892842392381,0.09213627434718198,11.031531551339162,0.22613298831956072,0.21038204916395353,0.02022082780114785,-0.0009536985550670432,0.01092416391544608,0.007443671534660364,0.00034959879430531397,140,0,0.0
ellipsoid,0.17435935176817793,0.9646701516548085,0.08908974934442855,11.233051706466028,0.1183393987355513,0.08021648100039792,1.728814005589125e-05,-7.971585882886323e-08,1.4835028214546006e-05,1.4834935180359606e-05,5.889150661247197e-06,140,0,0.0
